ano,mes,data_referencia,populacao_estim,fonte
1994,9,1994-09-01,70205,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,10,1994-10-01,71234,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,11,1994-11-01,72298,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,12,1994-12-01,73327,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,1,1995-01-01,74391,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,2,1995-02-01,75455,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,3,1995-03-01,76415,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,4,1995-04-01,77479,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,5,1995-05-01,78508,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,6,1995-06-01,79572,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,7,1995-07-01,80602,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,8,1995-08-01,81665,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,9,1995-09-01,82729,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,10,1995-10-01,83758,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,11,1995-11-01,84822,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,12,1995-12-01,85851,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,1,1996-01-01,86915,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,2,1996-02-01,87979,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,3,1996-03-01,88974,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,4,1996-04-01,90037,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,5,1996-05-01,91067,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,6,1996-06-01,92130,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,7,1996-07-01,93160,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,8,1996-08-01,94223,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,9,1996-09-01,95287,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,10,1996-10-01,96316,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,11,1996-11-01,97380,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,12,1996-12-01,98410,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,1,1997-01-01,99473,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,2,1997-02-01,100537,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,3,1997-03-01,101498,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,4,1997-04-01,102561,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,5,1997-05-01,103591,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,6,1997-06-01,104654,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,7,1997-07-01,105684,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,8,1997-08-01,106747,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,9,1997-09-01,107811,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,10,1997-10-01,108840,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,11,1997-11-01,109904,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,12,1997-12-01,110933,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,1,1998-01-01,111997,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,2,1998-02-01,113061,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,3,1998-03-01,114022,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,4,1998-04-01,115085,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,5,1998-05-01,116115,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,6,1998-06-01,117178,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,7,1998-07-01,118208,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,8,1998-08-01,119271,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,9,1998-09-01,120335,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,10,1998-10-01,121364,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,11,1998-11-01,122428,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1998,12,1998-12-01,123457,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,1,1999-01-01,124521,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,2,1999-02-01,125585,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,3,1999-03-01,126545,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,4,1999-04-01,127609,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,5,1999-05-01,128639,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,6,1999-06-01,129702,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,7,1999-07-01,130732,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,8,1999-08-01,131795,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,9,1999-09-01,132859,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,10,1999-10-01,133888,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,11,1999-11-01,134952,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1999,12,1999-12-01,135981,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,1,2000-01-01,137045,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,2,2000-02-01,137820,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,3,2000-03-01,138544,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,4,2000-04-01,139319,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,5,2000-05-01,140069,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,6,2000-06-01,140843,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,7,2000-07-01,141593,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,8,2000-08-01,142368,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,9,2000-09-01,143142,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,10,2000-10-01,143892,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,11,2000-11-01,144667,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2000,12,2000-12-01,145417,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,1,2001-01-01,146191,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,2,2001-02-01,146966,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,3,2001-03-01,147666,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,4,2001-04-01,148440,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,5,2001-05-01,149190,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,6,2001-06-01,149965,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,7,2001-07-01,150714,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,8,2001-08-01,151489,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,9,2001-09-01,152264,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,10,2001-10-01,153013,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,11,2001-11-01,153788,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2001,12,2001-12-01,154538,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,1,2002-01-01,155312,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,2,2002-02-01,156087,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,3,2002-03-01,156787,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,4,2002-04-01,157561,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,5,2002-05-01,158311,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,6,2002-06-01,159086,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,7,2002-07-01,159836,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,8,2002-08-01,160610,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,9,2002-09-01,161385,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,10,2002-10-01,162135,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,11,2002-11-01,162909,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2002,12,2002-12-01,163659,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,1,2003-01-01,164434,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,2,2003-02-01,165208,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,3,2003-03-01,165908,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,4,2003-04-01,166683,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,5,2003-05-01,167432,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,6,2003-06-01,168207,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,7,2003-07-01,168957,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,8,2003-08-01,169731,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,9,2003-09-01,170506,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,10,2003-10-01,171256,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,11,2003-11-01,172030,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2003,12,2003-12-01,172780,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,1,2004-01-01,173555,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,2,2004-02-01,174329,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,3,2004-03-01,175054,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,4,2004-04-01,175829,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,5,2004-05-01,176579,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,6,2004-06-01,177353,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
