ano,mes,temp_media_mes,populacao_estim,populacao_estim_lag1,delta_pop_abs,delta_pop_pct
2000,9,28.0,143142,142368.0,774.0,0.5436614969656102
2000,10,27.4,143892,143142.0,750.0,0.5239552332648698
2000,11,26.4,144667,143892.0,775.0,0.538598393239374
2000,12,25.7,145417,144667.0,750.0,0.5184319851797576
2001,1,25.8,146191,145417.0,774.0,0.532262390229478
2001,2,25.6,146966,146191.0,775.0,0.5301283936767653
2001,3,25.5,147666,146966.0,700.0,0.4763006409645768
2001,4,26.3,148440,147666.0,774.0,0.5241558652635
2001,5,27.0,149190,148440.0,750.0,0.5052546483427648
2001,6,26.4,149965,149190.0,775.0,0.5194718144647764
2001,7,26.9,150714,149965.0,749.0,0.4994498716367152
2001,8,27.7,151489,150714.0,775.0,0.514218984301392
2001,9,28.4,152264,151489.0,775.0,0.5115883001406043
2001,10,26.0,153013,152264.0,749.0,0.4919087899963222
2001,11,26.0,153788,153013.0,775.0,0.5064929123669231
2001,12,26.0,154538,153788.0,750.0,0.4876843446822899
2002,1,25.4,155312,154538.0,774.0,0.500847687947301
2002,2,26.9,156087,155312.0,775.0,0.4989955702070671
2002,3,26.3,156787,156087.0,700.0,0.44846784165241177
2002,4,26.8,157561,156787.0,774.0,0.4936633777035086
2002,5,26.9,158311,157561.0,750.0,0.47600611826530675
2002,6,26.5,159086,158311.0,775.0,0.4895427355016392
2002,7,27.4,159836,159086.0,750.0,0.4714431188162378
2002,8,28.5,160610,159836.0,774.0,0.4842463525113241
2002,9,28.5,161385,160610.0,775.0,0.4825353340389764
2002,10,27.6,162135,161385.0,750.0,0.4647272051305883
2002,11,27.5,162909,162135.0,774.0,0.4773799611434915
2002,12,26.2,163659,162909.0,750.0,0.46037972119404086
2003,1,26.6,164434,163659.0,775.0,0.4735456039692287
2003,2,26.4,165208,164434.0,774.0,0.47070557184037365
2003,3,25.7,165908,165208.0,700.0,0.4237082949978209
2003,4,26.8,166683,165908.0,775.0,0.4671263591870193
2003,5,26.7,167432,166683.0,749.0,0.44935596311561465
2003,6,26.0,168207,167432.0,775.0,0.4628744803860672
2003,7,26.1,168957,168207.0,750.0,0.4458791845761472
2003,8,27.9,169731,168957.0,774.0,0.45810472487082515
2003,9,29.3,170506,169731.0,775.0,0.45660486298908276
2003,10,27.5,171256,170506.0,750.0,0.4398672187489004
2003,11,26.3,172030,171256.0,774.0,0.45195496800112117
2003,12,26.5,172780,172030.0,750.0,0.43597047026681396
2004,1,25.7,173555,172780.0,775.0,0.448547285565459
2004,2,25.7,174329,173555.0,774.0,0.44596813690184667
2004,3,26.0,175054,174329.0,725.0,0.41588031824882843
2004,4,26.7,175829,175054.0,775.0,0.44272053195014105
2004,5,27.5,176579,175829.0,750.0,0.4265507965125207
2004,6,26.4,177353,176579.0,774.0,0.43833071882839975
2004,7,26.5,178103,177353.0,750.0,0.4228854318787954
2004,8,28.0,178878,178103.0,775.0,0.43514146308596713
2004,9,29.7,179652,178878.0,774.0,0.432697145540536
2004,10,27.4,180402,179652.0,750.0,0.4174737826464498
2004,11,27.2,181177,180402.0,775.0,0.42959612421148324
2004,12,26.7,181926,181177.0,749.0,0.41340788289904346
2005,1,26.7,182701,181926.0,775.0,0.4259973835515539
2005,2,26.9,183476,182701.0,775.0,0.42419034378574827
2005,3,26.1,184175,183476.0,699.0,0.38097625847522293
2005,4,27.4,184950,184175.0,775.0,0.4207954391204018
2005,5,26.7,185700,184950.0,750.0,0.40551500405515
2005,6,26.9,186474,185700.0,774.0,0.4168012924071082
2005,7,26.3,187224,186474.0,750.0,0.40220084301296694
2005,8,28.6,187999,187224.0,775.0,0.4139426569243259
2005,9,29.7,188773,187999.0,774.0,0.4117043175761574
2005,10,28.4,189523,188773.0,750.0,0.3973025803478252
2005,11,27.3,190298,189523.0,775.0,0.4089213446389093
2005,12,26.2,191048,190298.0,750.0,0.39411869804201827
2006,1,27.0,191822,191048.0,774.0,0.4051337883673213
2006,2,25.9,192597,191822.0,775.0,0.4040203939068511
2006,3,26.1,193297,192597.0,700.0,0.36345322097436616
2006,4,25.6,194071,193297.0,774.0,0.4004200789458709
2006,5,26.1,194821,194071.0,750.0,0.38645650303239537
2006,6,25.8,195596,194821.0,775.0,0.3978010584074612
2006,7,26.2,196345,195596.0,749.0,0.38293216630196936
2006,8,28.3,197120,196345.0,775.0,0.3947133871501693
2006,9,28.7,197895,197120.0,775.0,0.393161525974026
2006,10,27.7,198644,197895.0,749.0,0.3784835392506127
2006,11,27.1,199419,198644.0,775.0,0.39014518434989226
2006,12,27.0,200169,199419.0,750.0,0.3760925488544221
2007,1,26.7,200943,200169.0,774.0,0.3866732610943753
2007,2,25.1,201718,200943.0,775.0,0.38568151167246434
2007,3,27.0,202418,201718.0,700.0,0.3470191058804866
2007,4,26.9,203192,202418.0,774.0,0.382377061328538
2007,5,27.5,203942,203192.0,750.0,0.36910902004015905
2007,6,26.8,204717,203942.0,775.0,0.3800100028439458
2007,7,27.4,205467,204717.0,750.0,0.36635941323876375
2007,8,28.8,206241,205467.0,774.0,0.3767028281913884
2007,9,29.8,207016,206241.0,775.0,0.375773973167314
2007,10,28.9,207766,207016.0,750.0,0.36229083742319435
2007,11,27.3,208540,207766.0,774.0,0.37253448591203564
2007,12,27.0,209290,208540.0,750.0,0.3596432339119593
2008,1,26.1,210065,209290.0,775.0,0.37029958430885374
2008,2,25.6,210839,210065.0,774.0,0.36845738223883084
2008,3,25.4,211564,210839.0,725.0,0.34386427558468785
2008,4,26.4,212339,211564.0,775.0,0.36631941162012444
2008,5,26.8,213088,212339.0,749.0,0.3527378390215646
2008,6,26.3,213863,213088.0,775.0,0.36369950443009463
2008,7,26.5,214613,213863.0,750.0,0.35069179802022793
2008,8,28.7,215387,214613.0,774.0,0.360649168503306
2008,9,30.2,216162,215387.0,775.0,0.3598174448782888
2008,10,29.8,216912,216162.0,750.0,0.346962000721681
2008,11,26.9,217686,216912.0,774.0,0.3568267315777827
2008,12,26.2,218436,217686.0,750.0,0.3445329511314462
2009,1,26.9,219211,218436.0,775.0,0.35479499716164
2009,2,25.8,219985,219211.0,774.0,0.3530844711259928
2009,3,26.4,220685,219985.0,700.0,0.3182035138759461
2009,4,26.2,221460,220685.0,775.0,0.3511792826879942
2009,5,25.8,222210,221460.0,750.0,0.33866160931996747
2009,6,26.6,222984,222210.0,774.0,0.34831915755366544
2009,7,27.0,223734,222984.0,750.0,0.3363470024755139
2009,8,28.8,224509,223734.0,775.0,0.3463934851207237
2009,9,29.0,225283,224509.0,774.0,0.34475232618736884
2009,10,26.8,226033,225283.0,750.0,0.3329146007466165
2009,11,27.2,226808,226033.0,775.0,0.34287028885162785
2009,12,26.4,227557,226808.0,749.0,0.33023526507001516
2010,1,26.7,228332,227557.0,775.0,0.34057401002825666
2010,2,27.5,228858,228332.0,526.0,0.23036630870837202
2010,3,27.1,229333,228858.0,475.0,0.2075522813272859
2010,4,28.1,229859,229333.0,526.0,0.22936079848953267
2010,5,28.3,230368,229859.0,509.0,0.22144010023536168
2010,6,27.6,230894,230368.0,526.0,0.22833032365606334
2010,7,28.0,231403,230894.0,509.0,0.22044747806352702
2010,8,28.8,231929,231403.0,526.0,0.22730906686603025
2010,9,30.9,232455,231929.0,526.0,0.22679354457614181
2010,10,28.3,232964,232455.0,509.0,0.21896711191413393
2010,11,27.0,233490,232964.0,526.0,0.22578595834549545
2010,12,26.6,233998,233490.0,508.0,0.21756820420574755
2011,1,25.5,234524,233998.0,526.0,0.22478824605338507
2011,2,25.2,235050,234524.0,526.0,0.22428408179973053
2011,3,25.9,235525,235050.0,475.0,0.2020846628376941
2011,4,26.5,236051,235525.0,526.0,0.22333085659696425
2011,5,27.1,236560,236051.0,509.0,0.21563136779763695
2011,6,27.0,237086,236560.0,526.0,0.22235373689550222
2011,7,27.0,237595,237086.0,509.0,0.21469002809107246
2011,8,29.3,238121,237595.0,526.0,0.22138513015846295
2011,9,30.4,238647,238121.0,526.0,0.22089609904208363
2011,10,27.5,239156,238647.0,509.0,0.21328573164548478
2011,11,25.9,239682,239156.0,526.0,0.21994012276505712
2011,12,26.4,240191,239682.0,509.0,0.21236471658280553
2012,1,24.9,240717,240191.0,526.0,0.218992385226757
2012,2,25.4,241243,240717.0,526.0,0.21851385652031222
2012,3,26.1,241735,241243.0,492.0,0.2039437413728067
2012,4,27.1,242261,241735.0,526.0,0.21759364593459782
2012,5,26.9,242770,242261.0,509.0,0.21010397876670203
2012,6,27.2,243296,242770.0,526.0,0.21666598014581703
2012,7,27.1,243805,243296.0,509.0,0.20921018019202947
2012,8,28.2,244331,243805.0,526.0,0.21574619060314598
2012,9,30.2,244856,244331.0,525.0,0.21487244762228289
2012,10,29.5,245365,244856.0,509.0,0.20787728297448296
2012,11,27.0,245891,245365.0,526.0,0.2143745032910154
2012,12,27.0,246400,245891.0,509.0,0.2070022896323981
2013,1,26.2,246926,246400.0,526.0,0.21347402597402595
2013,2,26.5,247452,246926.0,526.0,0.213019285129958
2013,3,26.5,247927,247452.0,475.0,0.19195641983091669
