Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 1993-10-07
Data Final: 2025-09-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
2001-11-30;32;23;32,2;26;21,9;
2001-12-31;18;18;32;26;22,2;
2002-01-31;0;27;30,4;25,4;22,2;
2002-02-28;32;11;32,8;26,9;22,8;
2002-03-31;0;17;32,1;26,3;22,2;
2002-04-30;0;13;33,2;26,8;22;
2002-05-31;0;6;34;26,9;21,5;
2002-06-30;9;0;34,1;26,5;20,5;
2002-07-31;9;0;35,3;27,4;20,9;
2002-08-31;9;0;36,7;28,5;21,6;
2002-09-30;0;6;35,6;28,5;22,8;
2002-10-31;0;13;35,1;27,6;22,3;
2002-11-30;18;14;34,7;27,5;22,5;
2002-12-31;18;22;32;26,2;22,5;
2003-01-31;18;21;32,7;26,6;22,4;
2003-02-28;0;17;32,4;26,4;22,4;
2003-03-31;18;22;31,5;25,7;21,8;
2003-04-30;0;15;33,8;26,8;21,9;
2003-05-31;0;10;33,3;26,7;21,6;
2003-06-30;9;0;34,5;26;18,7;
2003-07-31;9;0;34,7;26,1;19,1;
2003-08-31;0;5;36,3;27,9;21,4;
2003-09-30;9;4;37,2;29,3;23,5;
2003-10-31;18;13;33,9;27,5;22,7;
2003-11-30;0;20;31,9;26,3;22,3;
2003-12-31;0;15;32;26,5;22,2;
2004-01-31;36;28;30,7;25,7;22,5;
2004-02-29;0;19;30,5;25,7;22,5;
2004-03-31;0;21;31,6;26;22,6;
2004-04-30;0;13;32,7;26,7;22,6;
2004-05-31;0;1;34,6;27,5;22,5;
2004-06-30;0;1;34,2;26,4;20,4;
2004-07-31;9;0;34,5;26,5;20,2;
2004-08-31;0;0;36,2;28;21;
2004-09-30;5;1;37,2;29,7;23,9;
2004-10-31;0;11;33,6;27,4;22,7;
2004-11-30;0;11;33,2;27,2;22,8;
2004-12-31;0;15;32,7;26,7;22,4;
2005-01-31;0;18;32,4;26,7;22,8;
2005-02-28;0;15;32,2;26,9;23;
2005-03-31;0;23;31,3;26,1;22,8;
2005-04-30;0;17;33,1;27,4;23,4;
2005-05-31;0;9;32,6;26,7;22,5;
2005-06-30;0;0;33,6;26,9;22,1;
2005-07-31;0;0;34,6;26,3;19,6;
2005-08-31;5;0;36,5;28,6;22,4;
2005-09-30;0;4;36,8;29,7;24,1;
2005-10-31;0;8;35,3;28,4;23;
2005-11-30;0;16;33,1;27,3;23;
2005-12-31;0;20;31,1;26,2;22,6;
2006-01-31;0;14;33,1;27;22,4;
2006-02-28;0;15;31,5;25,9;22,1;
2006-03-31;0;21;31,1;26,1;22,5;
2006-04-30;0;23;30,3;25,6;22,3;
2006-05-31;0;15;31,6;26,1;22,6;
2006-06-30;0;0;33,1;25,8;20,4;
2006-07-31;0;0;34,1;26,2;20;
2006-08-31;0;3;36,4;28,3;21,8;
2006-09-30;0;6;36;28,7;22,9;
2006-10-31;0;14;33,7;27,7;23,4;
2006-11-30;0;16;33;27,1;23,1;
2006-12-31;0;17;32,7;27;22,9;
2007-01-31;0;21;32,6;26,7;22,7;
2007-02-28;0;23;30,1;25,1;22;
2007-03-31;0;14;33,1;27;22,5;
2007-04-30;0;14;32,8;26,9;22,9;
2007-05-31;0;4;34,5;27,5;22,1;
2007-06-30;0;0;34,6;26,8;20,8;
2007-07-31;0;0;35,5;27,4;20,6;
2007-08-31;0;0;36,7;28,8;22,7;
2007-09-30;0;3;37,3;29,8;24,2;
2007-10-31;0;7;36;28,9;23,3;
2007-11-30;0;13;33,2;27,3;22,5;
2007-12-31;0;12;32,8;27;22,8;
2008-01-31;0;22;31,5;26,1;22,2;
2008-02-29;0;24;31,1;25,6;22,1;
2008-03-31;0;24;30,5;25,4;21,8;
2008-04-30;0;18;32;26,4;22,4;
2008-05-31;0;8;33,3;26,8;22;
2008-06-30;0;0;34,4;26,3;19,9;
2008-07-31;0;0;34,6;26,5;20;
2008-08-31;0;0;36,5;28,7;22,3;
2008-09-30;0;5;38,3;30,2;24,3;
2008-10-31;0;10;37,3;29,8;24,1;
2008-11-30;0;17;32,6;26,9;22,6;
2008-12-31;0;23;31,5;26,2;22,6;
2009-01-31;0;19;33,1;26,9;22,8;
2009-02-28;0;21;31,5;25,8;22,1;
2009-03-31;0;23;32,1;26,4;22,5;
2009-04-30;0;19;31,4;26,2;23;
2009-05-31;0;14;31,5;25,8;21,9;
2009-06-30;0;4;33,7;26,6;21,4;
2009-07-31;0;0;35,3;27;20,3;
2009-08-31;0;2;36,6;28,8;22,3;
2009-09-30;0;11;36,1;29;23,3;
2009-10-31;0;17;32,8;26,8;22,8;
2009-11-30;0;17;33,3;27,2;22,8;
2009-12-31;0;23;32,6;26,4;22,4;
2010-01-31;0;18;32,8;26,7;22,3;
2010-02-28;0;16;33,9;27,5;23,5;
2010-03-31;0;25;33,2;27,1;23,3;
2010-04-30;0;10;34,9;28,1;23,3;
2010-05-31;0;7;35,5;28,3;23;
2010-06-30;0;1;35,8;27,6;21,2;
2010-07-31;9;0;35,9;28;22,5;
2010-08-31;9;0;37,2;28,8;22,1;
2010-09-30;0;1;38,5;30,9;25,4;
2010-10-31;0;12;35,6;28,3;23,4;
2010-11-30;0;15;32,9;27;22,7;
2010-12-31;0;14;31,9;26,6;23;
2011-01-31;0;22;31,1;25,5;21,9;
2011-02-28;0;23;30,6;25,2;21,8;
2011-03-31;0;25;31,4;25,9;22,5;
2011-04-30;0;16;32,5;26,5;22,5;
2011-05-31;0;4;34;27,1;22,1;
2011-06-30;0;0;35;27;20,5;
2011-07-31;0;1;35,2;27;20,7;
2011-08-31;0;0;37,7;29,3;22,4;
2011-09-30;0;0;38,6;30,4;24,2;
2011-10-31;0;15;34,4;27,5;22,7;
2011-11-30;0;24;31,5;25,9;22,4;
2011-12-31;0;21;32,5;26,4;22,4;
2012-01-31;0;24;30,4;24,9;21,4;
2012-02-29;0;17;31,5;25,4;21,5;
2012-03-31;0;17;32;26,1;22,4;
2012-04-30;0;13;33,6;27,1;22,6;
2012-05-31;0;10;34;26,9;21,7;
2012-06-30;0;4;34,9;27,2;21,1;
2012-07-31;0;0;35,9;27,1;19,9;
2012-08-31;9;0;36,4;28,2;22,1;
2012-09-30;5;0;38,1;30,2;23,9;
2012-10-31;0;10;37;29,5;24;
2012-11-30;0;21;32,6;27;23,1;
2012-12-31;0;18;33,3;27;22,8;
2013-01-31;0;25;31,7;26,2;22,6;
2013-02-28;0;16;32,7;26,5;22,4;
2013-03-31;0;21;32,2;26,5;22,6;
2013-04-30;0;11;33,3;27,1;23;
2013-05-31;0;2;34,6;27,5;22,5;
2013-06-30;0;2;35,8;27,5;21,7;
2013-07-31;9;0;37,1;28,2;21,8;
2013-08-31;9;1;38,3;29,2;22,2;
2013-09-30;0;3;38,2;30,4;24,8;
2013-10-31;0;11;35,8;28,5;23,8;
2013-11-30;0;18;33,2;26,7;22,4;
2013-12-31;0;23;31,1;25,8;22,3;
2014-01-31;0;25;31,8;25,7;21,7;
2014-02-28;0;23;31,1;25,4;21,9;
2014-03-31;0;23;32,1;26,2;22,5;
2014-04-30;0;15;33;26,7;22,6;
2014-05-31;0;8;34,7;27,5;22,5;
2014-06-30;9;0;35,8;27,2;20,9;
2014-07-31;0;0;36,5;27,7;21,3;
2014-08-31;9;0;38;28,9;21,8;
2014-09-30;36;9;37,3;29,4;23,7;
2014-10-31;0;10;35,8;28,5;23,5;
2014-11-30;36;18;33,4;27,3;22,8;
2014-12-31;0;18;32,5;26,6;22,6;
2015-01-31;0;21;32,8;26,5;22,1;
